experimento,campana,maquina,motor,celda,run,fecha,modelo_gen,rerank,coleccion,niveles,n_requests,n_ok,wall_s,duracion_telemetria_s,n_consultas_log,tokens_entrada,tokens_salida,tokens_salida_estim_palabras,energia_wh,energia_marginal_wh,pot_media_w,n_gpus
eval/prueba_carga_usuarios/confianza/llamacpp/26b_4b_np8/run_09,confianza,voz05,llamacpp,26b_4b_np8,run_09,2026-07-04 16:26:48,gemma4:26b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,116.1,116.0,82,394242,26656,23593,13.947,5.987,432.2,2
eval/prueba_carga_usuarios/confianza/llamacpp/26b_4b_np8/run_10,confianza,voz05,llamacpp,26b_4b_np8,run_10,2026-07-04 16:28:44,gemma4:26b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,109.7,109.0,77,349588,24126,22714,13.118,4.717,432.5,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np1/run_01,confianza,voz05,ollama,12b_06b_np1,run_01,2026-07-04 11:41:51,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,416.9,417.1,76,274488,33446,31802,49.355,8.434,425.9,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np1/run_02,confianza,voz05,ollama,12b_06b_np1,run_02,2026-07-04 11:49:22,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,340.9,341.1,76,326192,23969,22723,40.699,7.557,429.5,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np1/run_03,confianza,voz05,ollama,12b_06b_np1,run_03,2026-07-04 11:55:39,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,415.6,415.1,76,313720,32557,30949,49.83,9.944,432.1,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np1/run_04,confianza,voz05,ollama,12b_06b_np1,run_04,2026-07-04 12:03:11,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,368.7,368.1,76,305557,27444,25994,43.915,8.91,429.4,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np1/run_05,confianza,voz05,ollama,12b_06b_np1,run_05,2026-07-04 12:09:55,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,361.1,361.1,76,341408,25921,24516,43.213,8.768,430.7,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np1/run_06,confianza,voz05,ollama,12b_06b_np1,run_06,2026-07-04 12:16:32,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,344.8,344.1,76,384935,23677,22401,41.536,7.988,434.5,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np1/run_07,confianza,voz05,ollama,12b_06b_np1,run_07,2026-07-04 12:22:51,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,389.4,389.1,76,348407,28781,27375,46.857,8.971,433.4,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np1/run_08,confianza,voz05,ollama,12b_06b_np1,run_08,2026-07-04 12:29:52,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,348.4,348.1,76,356685,24212,22893,41.822,7.692,432.5,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np1/run_09,confianza,voz05,ollama,12b_06b_np1,run_09,2026-07-04 12:36:15,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,358.6,358.1,76,362682,25446,24019,43.016,8.609,432.4,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np1/run_10,confianza,voz05,ollama,12b_06b_np1,run_10,2026-07-04 12:42:48,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,360.0,360.1,76,327984,26274,24810,43.216,8.76,432.0,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np4/run_01,confianza,voz05,ollama,12b_06b_np4,run_01,2026-07-04 08:07:11,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,248.6,248.0,76,270183,31930,30293,29.211,8.159,423.9,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np4/run_02,confianza,voz05,ollama,12b_06b_np4,run_02,2026-07-04 08:11:52,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,223.0,223.0,76,329594,24062,22771,26.326,8.438,424.7,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np4/run_03,confianza,voz05,ollama,12b_06b_np4,run_03,2026-07-04 08:16:08,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,254.0,254.1,76,318002,32449,30713,30.401,10.317,430.6,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np4/run_04,confianza,voz05,ollama,12b_06b_np4,run_04,2026-07-04 08:20:54,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,229.7,229.0,76,307242,26649,25198,27.309,7.026,429.1,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np4/run_05,confianza,voz05,ollama,12b_06b_np4,run_05,2026-07-04 08:25:15,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,230.4,230.0,76,342165,25969,24508,27.276,7.509,426.7,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np4/run_06,confianza,voz05,ollama,12b_06b_np4,run_06,2026-07-04 08:29:38,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,227.7,227.0,76,382193,24214,22832,27.377,10.541,434.0,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np4/run_07,confianza,voz05,ollama,12b_06b_np4,run_07,2026-07-04 08:33:57,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,247.3,247.0,76,353101,27870,26482,29.552,10.297,430.5,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np4/run_08,confianza,voz05,ollama,12b_06b_np4,run_08,2026-07-04 08:38:37,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,232.2,232.0,76,354418,24403,23000,27.631,8.622,428.5,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np4/run_09,confianza,voz05,ollama,12b_06b_np4,run_09,2026-07-04 08:42:59,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,232.1,232.0,76,358245,25483,23989,27.63,9.578,428.5,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np4/run_10,confianza,voz05,ollama,12b_06b_np4,run_10,2026-07-04 08:47:21,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,231.5,231.0,76,322466,26710,25181,27.471,8.439,427.9,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np8/run_01,confianza,voz05,ollama,12b_06b_np8,run_01,2026-07-04 04:48:09,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,251.0,251.1,76,267536,31838,30239,29.261,13.267,419.5,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np8/run_02,confianza,voz05,ollama,12b_06b_np8,run_02,2026-07-04 04:52:53,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,232.4,232.0,76,328743,25219,23869,27.083,12.515,420.1,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np8/run_03,confianza,voz05,ollama,12b_06b_np8,run_03,2026-07-04 04:57:17,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,262.5,262.1,76,316227,31340,29557,30.873,12.327,424.1,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np8/run_04,confianza,voz05,ollama,12b_06b_np8,run_04,2026-07-04 05:02:14,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,239.4,239.1,76,308156,27015,25540,27.731,11.446,417.6,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np8/run_05,confianza,voz05,ollama,12b_06b_np8,run_05,2026-07-04 05:06:46,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,235.7,235.0,76,344879,25708,24195,27.521,15.495,421.4,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np8/run_06,confianza,voz05,ollama,12b_06b_np8,run_06,2026-07-04 05:11:14,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,229.0,229.1,76,378034,23763,22431,27.063,12.598,425.1,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np8/run_07,confianza,voz05,ollama,12b_06b_np8,run_07,2026-07-04 05:15:33,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,239.2,239.0,76,347566,26331,24958,28.052,11.589,422.4,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np8/run_08,confianza,voz05,ollama,12b_06b_np8,run_08,2026-07-04 05:20:02,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,227.8,227.0,76,358023,23897,22562,26.725,12.338,423.6,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np8/run_09,confianza,voz05,ollama,12b_06b_np8,run_09,2026-07-04 05:24:22,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,236.7,236.0,76,361804,25421,23930,27.97,12.978,426.5,2
eval/prueba_carga_usuarios/confianza/ollama/12b_06b_np8/run_10,confianza,voz05,ollama,12b_06b_np8,run_10,2026-07-04 05:28:51,gemma4:12b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,240.3,240.1,76,325301,26459,24995,28.116,11.871,421.5,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np1/run_01,confianza,voz05,ollama,12b_4b_np1,run_01,2026-07-04 12:49:20,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,408.7,408.1,76,311517,32207,30521,49.388,8.604,435.6,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np1/run_02,confianza,voz05,ollama,12b_4b_np1,run_02,2026-07-04 12:56:40,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,342.4,342.1,76,322441,24229,22990,41.641,8.004,438.1,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np1/run_03,confianza,voz05,ollama,12b_4b_np1,run_03,2026-07-04 13:02:55,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,413.2,413.1,76,317332,32102,30263,50.362,8.89,438.8,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np1/run_04,confianza,voz05,ollama,12b_4b_np1,run_04,2026-07-04 13:10:20,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,353.8,353.1,76,306016,25599,24119,42.695,8.834,435.1,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np1/run_05,confianza,voz05,ollama,12b_4b_np1,run_05,2026-07-04 13:16:46,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,361.6,361.1,76,347698,26032,24552,44.018,8.549,438.8,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np1/run_06,confianza,voz05,ollama,12b_4b_np1,run_06,2026-07-04 13:23:19,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,354.1,354.1,76,396703,24374,22959,43.216,9.835,439.2,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np1/run_07,confianza,voz05,ollama,12b_4b_np1,run_07,2026-07-04 13:29:45,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,377.7,377.1,76,353155,27570,26221,45.873,9.611,437.9,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np1/run_08,confianza,voz05,ollama,12b_4b_np1,run_08,2026-07-04 13:36:34,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,346.0,346.1,76,360690,23814,22509,42.272,8.072,439.6,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np1/run_09,confianza,voz05,ollama,12b_4b_np1,run_09,2026-07-04 13:42:52,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,351.7,351.1,76,369015,24451,23004,42.953,7.788,440.4,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np1/run_10,confianza,voz05,ollama,12b_4b_np1,run_10,2026-07-04 13:49:15,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,357.5,357.1,76,342249,25403,23902,43.464,9.511,438.1,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np4/run_01,confianza,voz05,ollama,12b_4b_np4,run_01,2026-07-04 08:51:43,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,254.2,254.0,76,309025,32175,30488,30.631,9.683,434.1,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np4/run_02,confianza,voz05,ollama,12b_4b_np4,run_02,2026-07-04 08:56:28,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,217.3,217.0,76,324386,24266,22910,26.455,12.137,438.6,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np4/run_03,confianza,voz05,ollama,12b_4b_np4,run_03,2026-07-04 09:00:37,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,264.0,264.1,76,320616,32269,30485,32.198,10.429,438.8,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np4/run_04,confianza,voz05,ollama,12b_4b_np4,run_04,2026-07-04 09:05:32,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,227.6,227.0,76,304970,25909,24373,27.441,7.645,435.0,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np4/run_05,confianza,voz05,ollama,12b_4b_np4,run_05,2026-07-04 09:09:51,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,242.4,242.0,76,347085,26962,25430,29.365,8.967,436.7,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np4/run_06,confianza,voz05,ollama,12b_4b_np4,run_06,2026-07-04 09:14:25,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,242.0,242.0,76,396899,25546,24006,29.642,11.459,440.6,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np4/run_07,confianza,voz05,ollama,12b_4b_np4,run_07,2026-07-04 09:18:58,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,242.6,242.0,76,346721,27631,26222,29.512,9.316,438.8,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np4/run_08,confianza,voz05,ollama,12b_4b_np4,run_08,2026-07-04 09:23:32,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,221.5,221.0,76,363079,22901,21608,27.026,10.013,440.0,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np4/run_09,confianza,voz05,ollama,12b_4b_np4,run_09,2026-07-04 09:27:45,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,224.9,225.0,76,368264,24430,22935,27.484,9.567,439.5,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np4/run_10,confianza,voz05,ollama,12b_4b_np4,run_10,2026-07-04 09:32:02,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,231.3,231.0,76,341772,25265,23744,27.943,9.824,435.2,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np8/run_01,confianza,voz05,ollama,12b_4b_np8,run_01,2026-07-04 05:33:23,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,257.0,257.1,76,314650,32533,30851,30.614,14.101,428.6,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np8/run_02,confianza,voz05,ollama,12b_4b_np8,run_02,2026-07-04 05:38:12,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,227.3,227.0,76,315323,23932,22710,27.046,14.118,428.8,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np8/run_03,confianza,voz05,ollama,12b_4b_np8,run_03,2026-07-04 05:42:31,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,264.4,264.0,76,320378,32435,30515,31.952,15.233,435.6,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np8/run_04,confianza,voz05,ollama,12b_4b_np8,run_04,2026-07-04 05:47:27,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,229.0,229.1,76,312763,25489,24028,27.257,12.434,428.3,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np8/run_05,confianza,voz05,ollama,12b_4b_np8,run_05,2026-07-04 05:51:47,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,240.7,240.0,76,349452,26225,24643,28.747,13.178,431.1,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np8/run_06,confianza,voz05,ollama,12b_4b_np8,run_06,2026-07-04 05:56:20,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,244.1,244.1,76,398413,25165,23685,29.569,12.248,436.0,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np8/run_07,confianza,voz05,ollama,12b_4b_np8,run_07,2026-07-04 06:00:54,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,243.9,244.1,76,346298,27278,25919,29.487,12.562,434.9,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np8/run_08,confianza,voz05,ollama,12b_4b_np8,run_08,2026-07-04 06:05:29,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,232.5,232.0,76,357013,23251,21983,27.752,15.765,430.6,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np8/run_09,confianza,voz05,ollama,12b_4b_np8,run_09,2026-07-04 06:09:54,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,242.7,242.1,76,370494,24957,23496,29.135,13.968,433.2,2
eval/prueba_carga_usuarios/confianza/ollama/12b_4b_np8/run_10,confianza,voz05,ollama,12b_4b_np8,run_10,2026-07-04 06:14:28,gemma4:12b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,236.1,236.1,76,341637,26141,24615,28.103,14.294,428.4,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np1/run_01,confianza,voz05,ollama,26b_06b_np1,run_01,2026-07-04 09:36:47,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,241.6,241.0,76,308562,29730,28281,23.785,4.073,355.1,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np1/run_02,confianza,voz05,ollama,26b_06b_np1,run_02,2026-07-04 09:41:20,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,444.3,444.1,76,308693,19442,18553,31.556,8.945,255.8,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np1/run_03,confianza,voz05,ollama,26b_06b_np1,run_03,2026-07-04 09:49:44,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,766.4,766.3,76,298997,25111,23955,48.794,20.99,229.2,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np1/run_04,confianza,voz05,ollama,26b_06b_np1,run_04,2026-07-04 10:03:31,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,462.0,462.2,76,301425,22966,21844,33.087,10.84,257.6,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np1/run_05,confianza,voz05,ollama,26b_06b_np1,run_05,2026-07-04 10:12:14,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,208.2,208.0,76,393744,22265,21175,20.662,4.171,357.2,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np1/run_06,confianza,voz05,ollama,26b_06b_np1,run_06,2026-07-04 10:16:14,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,207.4,207.0,76,384440,21966,20878,20.57,4.019,357.5,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np1/run_07,confianza,voz05,ollama,26b_06b_np1,run_07,2026-07-04 10:20:14,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,231.1,231.0,76,337032,27076,25825,22.643,4.475,352.6,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np1/run_08,confianza,voz05,ollama,26b_06b_np1,run_08,2026-07-04 10:24:36,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,322.8,322.1,76,358935,22242,21208,26.406,9.908,295.0,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np1/run_09,confianza,voz05,ollama,26b_06b_np1,run_09,2026-07-04 10:31:00,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,209.0,208.0,76,351595,22753,21869,20.552,4.442,355.3,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np1/run_10,confianza,voz05,ollama,26b_06b_np1,run_10,2026-07-04 10:35:01,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,217.3,217.0,76,327748,24757,23317,21.38,3.989,354.5,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np4/run_01,confianza,voz05,ollama,26b_06b_np4,run_01,2026-07-04 06:19:18,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,170.9,171.0,76,307066,30332,28865,16.597,5.011,349.5,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np4/run_02,confianza,voz05,ollama,26b_06b_np4,run_02,2026-07-04 06:22:40,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,276.3,276.1,76,314505,19485,18553,20.364,10.269,265.4,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np4/run_03,confianza,voz05,ollama,26b_06b_np4,run_03,2026-07-04 06:28:17,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,766.6,766.3,76,296479,24260,23279,45.076,17.195,211.8,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np4/run_04,confianza,voz05,ollama,26b_06b_np4,run_04,2026-07-04 06:42:05,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,316.6,316.2,76,297021,21896,21051,22.482,10.927,256.1,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np4/run_05,confianza,voz05,ollama,26b_06b_np4,run_05,2026-07-04 06:47:54,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,155.4,155.0,76,384562,22054,20946,15.498,5.561,359.8,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np4/run_06,confianza,voz05,ollama,26b_06b_np4,run_06,2026-07-04 06:51:00,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,152.5,152.0,76,392066,22213,21097,15.183,4.5,359.4,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np4/run_07,confianza,voz05,ollama,26b_06b_np4,run_07,2026-07-04 06:54:05,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,161.1,161.0,76,332647,25541,24383,15.873,4.693,354.7,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np4/run_08,confianza,voz05,ollama,26b_06b_np4,run_08,2026-07-04 06:57:17,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,285.2,285.1,76,354700,21816,20783,21.556,10.07,272.0,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np4/run_09,confianza,voz05,ollama,26b_06b_np4,run_09,2026-07-04 07:03:04,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,473.4,473.2,76,351281,22031,20951,30.227,12.905,230.1,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np4/run_10,confianza,voz05,ollama,26b_06b_np4,run_10,2026-07-04 07:11:29,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,158.0,158.0,76,329165,24635,23261,15.509,4.804,353.2,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np8/run_01,confianza,voz05,ollama,26b_06b_np8,run_01,2026-07-04 02:51:49,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,171.5,171.0,76,307102,30326,28858,16.321,5.849,343.3,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np8/run_02,confianza,voz05,ollama,26b_06b_np8,run_02,2026-07-04 02:55:13,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,133.6,133.0,76,320440,19161,18333,12.783,5.704,345.9,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np8/run_03,confianza,voz05,ollama,26b_06b_np8,run_03,2026-07-04 02:58:00,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,778.3,778.3,76,290212,24180,23176,45.076,16.667,208.5,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np8/run_04,confianza,voz05,ollama,26b_06b_np8,run_04,2026-07-04 03:11:59,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,314.6,314.1,76,294582,21259,20479,22.122,10.368,253.7,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np8/run_05,confianza,voz05,ollama,26b_06b_np8,run_05,2026-07-04 03:17:46,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,160.5,160.0,76,388804,21843,20778,15.622,5.558,351.4,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np8/run_06,confianza,voz05,ollama,26b_06b_np8,run_06,2026-07-04 03:20:58,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,159.7,159.0,76,393800,21737,20680,15.61,6.847,353.2,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np8/run_07,confianza,voz05,ollama,26b_06b_np8,run_07,2026-07-04 03:24:10,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,166.0,166.0,76,332018,26324,25155,16.276,5.201,352.8,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np8/run_08,confianza,voz05,ollama,26b_06b_np8,run_08,2026-07-04 03:27:28,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,287.3,287.1,76,355366,21726,20734,21.42,9.952,268.5,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np8/run_09,confianza,voz05,ollama,26b_06b_np8,run_09,2026-07-04 03:33:16,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,435.5,435.1,76,349171,22945,21819,28.778,12.874,237.9,2
eval/prueba_carga_usuarios/confianza/ollama/26b_06b_np8/run_10,confianza,voz05,ollama,26b_06b_np8,run_10,2026-07-04 03:41:33,gemma4:26b,embed,docs_rag_qwen3_06b,1/5/10/15/20/25,76,76,157.9,157.0,76,330473,25064,23638,15.098,6.932,345.7,2
eval/prueba_carga_usuarios/confianza/ollama/26b_4b_np1/run_01,confianza,voz05,ollama,26b_4b_np1,run_01,2026-07-04 10:39:11,gemma4:26b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,255.1,255.0,76,298639,32521,30949,25.532,4.405,360.3,2
eval/prueba_carga_usuarios/confianza/ollama/26b_4b_np1/run_02,confianza,voz05,ollama,26b_4b_np1,run_02,2026-07-04 10:43:58,gemma4:26b,embed,docs_rag_qwen3,1/5/10/15/20/25,76,76,328.5,328.1,76,321102,20156,19295,26.286,13.121,288.5,2
