campana,maquina,tipo,serie,motor,celda,repeticion,concurrencia,peticion,ttft_ms,total_ms,tokens,tps,router_s,recuperador_s,generador_s,total_s,error,origen
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,40,17695,40800,40,1.0,5.1,0.11,35.4,40.61,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,41,27694,52708,298,5.7,21.68,0.27,30.52,52.47,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,42,17687,56256,492,8.7,2.93,0.11,53.01,56.05,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,43,23237,45356,112,2.5,15.88,0.42,28.88,45.18,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,44,34231,54108,351,6.5,31.46,0.16,22.26,53.88,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,45,31572,44851,97,2.2,27.6,0.59,16.49,44.68,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,46,24750,42349,46,1.1,15.87,0.08,26.16,42.11,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,47,37620,45883,115,2.5,34.13,0.11,11.43,45.67,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,48,41550,54631,364,6.7,40.47,0.15,13.9,54.52,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,49,39681,55582,412,7.4,38.5,0.2,16.7,55.4,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,50,17681,48551,201,4.1,7.61,0.44,40.31,48.36,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,51,24747,60418,878,14.5,4.06,0.23,55.96,60.25,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,52,24746,56375,478,8.5,14.38,0.36,41.45,56.19,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,53,32702,55875,439,7.9,28.92,0.2,26.58,55.7,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,54,4559,53275,351,6.6,3.15,0.19,49.78,53.12,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,55,24745,58051,628,10.8,2.91,0.03,54.92,57.86,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,56,39698,56144,425,7.6,38.52,0.19,17.14,55.85,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,57,17688,48755,206,4.2,7.6,0.39,40.61,48.6,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,58,17687,55055,421,7.6,6.02,0.09,48.79,54.9,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,59,11268,57812,592,10.2,7.6,0.2,49.81,57.61,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,60,31553,47591,162,3.4,27.57,0.17,19.68,47.42,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,61,18879,54620,388,7.1,14.37,0.1,40.04,54.51,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,62,18872,46881,154,3.3,12.87,0.09,33.73,46.69,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,63,31552,49047,193,3.9,27.58,0.5,20.79,48.87,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,64,14476,56158,459,8.2,11.16,0.38,44.31,55.85,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,65,29050,54763,381,7.0,23.09,0.1,31.39,54.58,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,66,36429,51104,249,4.9,33.41,0.22,17.22,50.85,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,67,33513,50742,245,4.8,28.94,0.53,21.1,50.57,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,68,17682,53063,344,6.5,2.88,0.07,49.88,52.83,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,69,38255,53071,308,5.8,35.12,0.07,17.61,52.8,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,70,23199,56306,474,8.4,15.86,0.54,39.66,56.06,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,71,24738,49632,223,4.5,14.37,0.57,34.52,49.46,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,72,29026,55417,421,7.6,23.08,0.03,32.08,55.19,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,73,31549,43363,64,1.5,27.57,0.37,15.23,43.17,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,74,30257,50042,224,4.5,24.6,0.18,25.08,49.86,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,75,25059,51579,283,5.5,4.44,0.09,46.85,51.38,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,76,25058,56273,468,8.3,6.77,0.34,48.94,56.05,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,77,38250,49205,193,3.9,35.11,0.16,13.69,48.96,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,78,40005,57047,517,9.1,38.6,0.29,17.97,56.86,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,79,23192,53546,339,6.3,15.85,0.39,37.15,53.39,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,80,23195,56538,500,8.8,17.31,0.24,38.83,56.38,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,81,17676,49967,229,4.6,11.9,0.74,37.08,49.72,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,82,17672,55796,447,8.0,3.15,0.5,51.95,55.6,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,83,37604,55134,399,7.2,34.1,0.19,20.66,54.95,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,84,24725,42860,95,2.2,17.3,,4.83,22.13,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,85,26228,48468,190,3.9,18.76,0.19,29.3,48.25,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,86,26228,49657,222,4.5,12.86,0.07,36.55,49.48,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,87,26228,54822,392,7.2,6.0,0.13,48.48,54.61,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,88,18872,54103,372,6.9,7.6,0.35,45.97,53.92,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,89,27667,56172,465,8.3,21.64,0.2,34.07,55.91,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,90,27675,48047,177,3.7,21.65,0.28,25.89,47.82,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,91,36418,47682,162,3.4,33.39,0.23,13.87,47.49,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,92,21806,55298,416,7.5,11.56,0.9,42.67,55.13,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,93,32695,53195,325,6.1,28.94,0.51,23.63,53.08,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,94,21804,54938,411,7.5,6.75,0.2,47.71,54.66,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,95,29043,52711,300,5.7,23.08,0.06,29.31,52.45,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,96,32695,49801,214,4.3,28.93,0.27,20.31,49.51,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,97,24691,51628,270,5.2,18.76,0.08,32.56,51.4,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,98,29009,54042,344,6.4,24.59,0.03,29.2,53.82,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,99,21799,47913,176,3.7,14.36,0.22,33.1,47.68,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,100,100,21783,55946,453,8.1,15.85,0.05,39.89,55.79,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,1,30158,52568,115,2.2,8.44,0.35,43.47,52.26,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,2,13425,66213,437,6.6,10.78,0.12,55.08,65.98,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,3,30153,62325,327,5.2,4.25,0.13,57.77,62.15,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,4,25809,66118,423,6.4,12.77,0.71,52.48,65.96,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,5,10921,64946,394,6.1,7.55,0.04,57.06,64.65,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,6,38912,56352,169,3.0,32.85,0.19,23.11,56.15,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,7,30152,48274,35,0.7,18.2,0.98,28.85,48.03,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,8,40415,59421,235,4.0,32.84,0.44,25.98,59.26,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,9,10974,69564,676,9.7,7.55,0.31,61.55,69.41,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,10,44232,61508,279,4.5,41.8,0.05,19.38,61.23,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,11,8165,46072,35,0.8,3.51,0.08,41.75,45.34,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,12,30149,64399,366,5.7,19.72,0.14,44.26,64.12,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,13,12946,58081,229,3.9,9.44,0.23,48.2,57.87,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,14,30073,54455,145,2.7,24.12,0.07,30.05,54.24,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,15,,30153,0,0.0,,,,,"Client error '400 Bad Request' for url 'http://localhost:8002/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400",voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,16,30148,61394,290,4.7,13.24,1.05,46.73,61.02,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,17,24285,63446,347,5.5,18.19,0.06,45.0,63.25,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,18,30150,70679,795,11.2,4.74,0.15,65.64,70.53,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,19,30150,52560,126,2.4,3.9,0.22,48.16,52.28,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,20,16835,65139,396,6.1,12.76,0.5,51.54,64.8,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,21,19871,63547,347,5.5,14.0,0.48,48.87,63.35,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,22,34455,53731,129,2.4,26.99,0.4,26.13,53.52,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,23,9586,56147,190,3.4,6.6,0.21,49.13,55.94,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,24,37451,62559,313,5.0,31.37,0.4,30.55,62.32,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,25,30147,66360,438,6.6,15.27,0.71,50.18,66.16,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,26,30147,65678,404,6.2,16.68,0.74,47.93,65.35,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,27,9585,66020,441,6.7,6.59,0.09,59.12,65.8,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,28,35920,51972,93,1.8,29.92,0.1,21.69,51.71,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,29,8563,47925,44,0.9,5.56,0.12,42.03,47.71,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,30,14149,54037,143,2.6,11.98,0.04,41.75,53.77,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
voz04,voz05,saturación,saturacion_12b,,12b_06b,04,150,31,30146,65543,400,6.1,13.99,0.56,50.7,65.25,,voz04/saturacion_12b/12b_06b/run_04/sweep.json
